ZIP	census_county_2010	census_state_2010	STATE	ChildrenHHCount	length_of_residence	children_ind	head_hh_age_code	GE_LATITUDE_2010	GE_LONGITUDE_2010
21340	238	52	KS	6	58	0	G	46.26985453898389	-84.54609326061099
70149	497	01	NV	5	41	1	G	27.802666104760675	-98.57713754717477
58233	119	21	LA	12	34	1	D	44.39215219888938	-94.72033115458483
74668	320	03	OR	7	68	0	E	33.35853182384213	-116.52690946867821
51686	556	23	AL	10	65	1	L	42.99432215171586	-97.93512666663332
32906	310	11	DC	11	14	0	G	39.34238417409642	-84.5387102362775
37629	213	10	RI	12	50	0	C	43.39301250146171	-94.39210330355792
74688	429	19	RI	9	65	0	H	48.5783192385925	-114.34942781934137
75644	342	22	WV	6	29	1	G	39.742549453779006	-89.45805428238234
19110	367	21	SD	9	20	1	H	48.5861193520687	-96.3990067783902
48898	475	20	NY	5	63	1	M	35.79229819730452	-105.89322972460877
58680	516	31	NM	12	41	1	C	30.377416142493672	-103.58986450493197
62379	568	05	WI	8	33	0	B	46.41431072541799	-123.09413248546592
14002	057	26	KS	8	44	1	M	44.319158126994466	-105.23128780561265
96638	596	15	NJ	7	58	1	E	36.69989927732946	-119.4439307901863
99792	176	36	WV	5	36	0	H	39.04205083160413	-119.17342553250273
74858	569	24	WV	10	53	0	B	48.7567787778187	-99.31170718351787
37012	489	53	NY	11	44	1	A	40.190721449725906	-83.1078176739668
29674	227	10	DE	3	46	0	M	37.80360242623216	-118.89971980898217
61684	468	22	FL	0	34	1	F	42.111839594414924	-102.28844130928641
49296	110	53	NC	9	58	1	L	33.726553222112855	-86.77810192150308
75273	551	55	AZ	1	41	0	M	33.876567748885485	-84.01217329966889
92937	551	27	FL	4	33	1	I	42.839428445742485	-97.096862886802
72832	173	45	NV	13	57	0	A	40.01284508625957	-99.8017367660313
62721	384	01	NV	8	28	1	M	35.493298176736886	-80.86013499312023
30282	251	26	TX	1	0	1	B	44.8372098552164	-84.58564207403664
70487	598	02	UT	1	12	0	C	30.445844035119013	-84.29366424224307
82508	316	57	PA	0	1	1	I	41.217560157811945	-112.77721744165143
13627	199	42	TX	2	53	0	E	43.02375658637299	-99.04194267352042
48494	445	32	AL	2	28	0	B	40.958690242669725	-106.97072376092027
57286	153	33	RI	11	34	0	K	34.407224036667074	-107.32837951614744
77110	440	43	ID	0	25	0	I	43.527831099689124	-84.60095365903055
28942	584	01	LA	6	25	0	G	41.30503817271149	-83.89347624890807
28794	227	42	NC	0	8	0	I	33.32861437152269	-100.40767004751531
85649	307	46	NY	5	24	0	M	27.51560056670437	-82.17925796744528
18506	229	33	AK	0	14	0	A	45.49851260190129	-121.99795982824149
39972	135	54	IA	6	64	0	C	47.27443111601545	-102.06598865167506
20040	007	37	NV	14	15	1	J	45.706820305607536	-97.25720319057177
72871	295	41	PA	1	37	0	H	42.015403303019696	-93.54656185528697
71091	588	15	UT	1	31	1	E	45.825908353624015	-120.71562696028649
99396	532	28	VA	12	64	1	F	34.709822438886015	-106.2553431921026
94110	353	57	NM	8	43	0	M	38.811824878962724	-98.81979454059484
32641	494	59	WA	12	7	0	G	44.650747034351596	-114.55510515543249
15453	470	47	WY	7	46	1	J	41.45623472449711	-75.04599147729847
81411	452	44	DE	4	20	0	G	38.31170977916038	-107.05231687629339
67921	468	28	NY	6	56	0	D	46.41639054088159	-89.27899298381625
58942	328	33	UT	5	58	0	A	35.36309153302132	-83.4247582656254
13008	091	46	AR	3	42	0	D	34.13402035526571	-118.2303456924495
55144	508	43	UT	13	10	0	F	42.56770889377134	-83.16265547773455
30349	101	03	ME	12	34	0	M	36.0971246139594	-106.24257437684678
74097	085	31	MN	9	26	1	L	30.128424508951323	-84.5435564115611
80689	417	22	AR	15	9	1	E	32.74036002954319	-111.89803964407258
15156	505	04	WV	9	15	0	M	32.008269016128395	-87.483644593679
95826	216	51	NH	13	65	0	J	47.74103597510633	-109.26328893288078
92618	364	56	VT	15	6	0	C	40.03578033929086	-101.81125437872575
69779	402	18	TX	15	10	1	L	46.49528423002337	-96.45989750232235
40165	339	17	NM	15	18	0	K	43.50129739561781	-77.20749643956316
32203	350	52	ND	7	54	1	A	33.35289331798727	-92.75468404622774
33368	159	17	TN	1	13	1	H	43.738681037318294	-116.21920669043755
58083	041	36	NH	14	48	1	K	43.97008301451599	-94.71904617025943
98766	234	14	NJ	0	49	0	K	48.21837999183365	-94.61452408869557
48874	287	10	MN	14	67	0	M	39.28134942381798	-105.60653531525035
95486	563	12	NJ	3	6	0	L	38.81162022571686	-110.70198953501483
81602	232	55	SD	2	62	1	B	39.47577761982137	-101.80387098703319
78844	599	52	WA	7	69	0	B	34.61732588836827	-116.05701412513653
94015	521	31	TN	8	50	1	E	40.71229218245501	-118.76342363926449
34783	419	10	IL	2	54	0	E	31.142245417133964	-84.89324030184035
36669	482	49	KS	6	34	1	C	44.21820841665932	-71.70738586041277
91426	210	04	VT	15	18	0	I	36.64401345249057	-97.63136695513741
75239	389	38	AR	13	31	0	D	37.16100562122364	-108.53418305885891
43958	101	05	IL	14	12	1	L	40.35957923319256	-107.39841087618976
19117	378	26	NM	15	59	1	K	38.345764282535995	-106.3394421848069
31702	261	29	WI	7	60	0	L	47.12276604169921	-113.29950568535303
72172	573	04	DE	10	61	0	C	45.28975450604561	-118.93163319244418
24718	002	35	VT	5	33	1	M	32.75447972049546	-105.94230237693112
80067	100	57	VT	8	39	1	A	44.2731577273956	-121.45814838435516
85618	117	16	AK	11	58	1	I	38.785466066793774	-119.160440761657
84092	327	46	NH	5	20	1	H	43.30765917000275	-98.1683358680726
23472	574	11	IA	6	38	0	L	44.39213477059892	-110.32922382178532
63445	524	24	OR	1	31	0	E	35.40893490708869	-83.98348921854779
68559	021	10	UT	8	15	1	B	28.00210766009136	-82.39452140850787
58245	436	05	CO	6	58	1	L	33.552953870560145	-89.42814357734684
10900	200	08	SD	2	68	0	E	40.37127495301209	-76.74220309710569
16472	481	07	ID	2	70	1	D	43.58205445525288	-113.62406208536035
